edep_keV,y_keV_um,z_mGy
8.32522,2.08131,11.7938
8.32674,2.08169,11.796
0.658641,0.16466,0.933054
8.32697,2.08174,11.7963
0.325594,0.0813986,0.461248
8.32855,2.08214,11.7985
0.164521,0.0411301,0.233066
0.891333,0.222833,1.26269
8.32603,2.08151,11.7949
0.889794,0.222448,1.26051
0.353442,0.0883606,0.500699
0.275808,0.0689521,0.39072
1.02927,0.257317,1.4581
1.10903,0.277258,1.57109
0.890227,0.222557,1.26113
8.32499,2.08125,11.7935
0.139198,0.0347994,0.197192
0.635195,0.158799,0.89984
0.890512,0.222628,1.26153
0.907843,0.226961,1.28608
0.275279,0.0688198,0.38997
0.485557,0.121389,0.687858
0.350495,0.0876237,0.496523
1.50448,0.376119,2.13129
1.95541,0.488853,2.77011
4.92539,1.23135,6.97748
0.488441,0.12211,0.691943
8.32627,2.08157,11.7953
0.908892,0.227223,1.28757
0.185202,0.0463004,0.262363
8.32565,2.08141,11.7944
0.226761,0.0566903,0.321238
0.253325,0.0633313,0.358869
0.298756,0.0746889,0.423228
3.2372,0.809301,4.58594
0.907914,0.226978,1.28618
8.32531,2.08133,11.7939
8.32762,2.08191,11.7972
0.325158,0.0812895,0.46063
8.32698,2.08175,11.7963
0.34964,0.0874099,0.495312
8.32693,2.08173,11.7962
5.73284,1.43321,8.12135
0.537589,0.134397,0.761568
0.908129,0.227032,1.28649
8.32398,2.081,11.792
0.545524,0.136381,0.772809
8.32784,2.08196,11.7975
0.10801,0.0270024,0.15301
0.581923,0.145481,0.824372
0.879742,0.219935,1.24627
0.965276,0.241319,1.36744
8.32708,2.08177,11.7964
0.0728993,0.0182248,0.103272
1.02956,0.25739,1.45851
0.588518,0.14713,0.833716
0.454561,0.11364,0.643947
0.582365,0.145591,0.824999
0.81104,0.20276,1.14895
8.32394,2.08098,11.792
8.32559,2.0814,11.7943
8.32712,2.08178,11.7965
1.14152,0.285379,1.61711
0.592608,0.148152,0.839509
0.891028,0.222757,1.26226
0.654311,0.163578,0.92692
8.32446,2.08111,11.7927
1.57586,0.393965,2.23242
0.136258,0.0340645,0.193028
0.283344,0.0708359,0.401395
0.909095,0.227274,1.28786
0.991488,0.247872,1.40458
1.49852,0.374629,2.12285
8.32682,2.08171,11.7961
8.3239,2.08097,11.7919
0.156904,0.0392259,0.222275
0.891001,0.22275,1.26222
5.09504,1.27376,7.21782
1.24932,0.31233,1.76983
8.32641,2.0816,11.7955
0.209236,0.052309,0.296411
0.572138,0.143034,0.810511
1.02943,0.257357,1.45833
0.135732,0.033933,0.192283
0.0178549,0.00446371,0.0252938
0.334271,0.0835677,0.47354
8.32723,2.08181,11.7966
8.32448,2.08112,11.7928
0.142378,0.0355944,0.201697
0.985597,0.246399,1.39623
0.311637,0.0779093,0.441476
0.422381,0.105595,0.598359
0.67647,0.169118,0.958312
1.03081,0.257702,1.46028
8.32457,2.08114,11.7929
0.908368,0.227092,1.28683
1.02978,0.257445,1.45882
0.89024,0.22256,1.26115
0.619829,0.154957,0.878072
0.892072,0.223018,1.26374
8.32525,2.08131,11.7938
0.88999,0.222497,1.26079
8.32715,2.08179,11.7965
8.32298,2.08075,11.7906
8.32544,2.08136,11.7941
0.358986,0.0897465,0.508552
0.890164,0.222541,1.26104
0.406686,0.101672,0.576126
0.399356,0.099839,0.565742
0.481014,0.120253,0.681421
0.528003,0.132001,0.747988
8.17098,2.04274,11.5753
0.0879131,0.0219783,0.124541
0.188232,0.0470579,0.266655
0.908213,0.227053,1.28661
8.32702,2.08175,11.7963
8.32662,2.08166,11.7958
0.889606,0.222401,1.26025
0.525827,0.131457,0.744905
0.017193,0.00429825,0.0243562
8.32858,2.08215,11.7986
8.32779,2.08195,11.7974
0.346508,0.0866271,0.490876
1.04528,0.261321,1.48078
8.32827,2.08207,11.7981
0.908067,0.227017,1.2864
8.32648,2.08162,11.7956
0.0655133,0.0163783,0.0928085
8.32681,2.0817,11.7961
